facility_id,lat,lon,geo_source
FA0305523,33.894736461824,-118.327490785893,census
FA0027012,34.068951849748,-118.301798036102,census
FA0007404,34.094972264963,-117.717828068132,census
FA0326460,34.094564356823,-117.721896544127,census
FA0017692,33.881385224917,-118.082462329369,census
FA0248408,34.010770798476,-118.301730732204,census
FA0017697,34.097961297739,-118.364106637676,census
FA0017698,34.079981000913,-118.093447909269,census
FA0016367,34.017502666848,-118.282692975323,census
FA0317517,34.067812998549,-118.150163192131,census
FA0015038,34.083486110366,-118.344114897656,census
FA0326469,34.123866395647,-118.056945738788,census
FA0326466,33.987681261236,-117.891620351666,census
FA0301161,33.92991267199,-118.168999363174,census
FA0327796,33.858379355826,-118.084539768003,census
FA0049289,33.889510645903,-118.306242204257,census
FA0326451,34.128825531901,-117.883603356798,census
FA0325121,34.062143747149,-117.757527541451,census
FA0269330,34.182688015606,-118.466247024645,census
FA0030678,34.076552522831,-118.215456339326,census
FA0167304,34.04535611258,-118.523450187543,census
FA0003038,34.090686851088,-118.367566699965,census
FA0250719,34.057675348511,-118.295319549768,census
FA0049270,33.887795589017,-118.029031464114,census
FA0021718,34.076438043491,-118.323706096937,census
FA0041305,34.039929033092,-118.464875388433,census
FA0305539,34.164445174371,-118.448630524257,census
FA0030670,34.571737756515,-118.044929930277,census
FA0041309,34.68949876978,-118.096533214074,census
FA0039002,34.027312416159,-117.896353642077,census
FA0015044,34.067933238909,-118.309178364931,census
FA0317508,33.914081390941,-118.07239300779,census
FA0054618,34.062645105119,-117.741724970077,census
FA0030669,34.602529377333,-118.186335932455,census
FA0030668,34.114296679712,-117.906757288591,census
FA0306860,34.02492913267,-118.251136418111,census
FA0029680,33.962152283252,-118.421414417185,census
FA0325122,34.062616113758,-117.738383048955,census
FA0326453,33.832453680004,-118.155859012664,census
FA0326454,33.986419872385,-118.162009469953,census
FA0270311,34.0394661747,-118.143455110445,census
FA0004398,34.028740587873,-118.443005223983,census
FA0049260,33.916444461664,-118.367450514034,census
FA0249711,34.083407440017,-118.345569631024,census
FA0167339,33.925911445152,-118.130999132958,census
FA0305504,33.848553055908,-118.36258065305,census
FA0271640,34.079981000913,-118.093447909269,census
FA0003068,34.04149180764,-118.263666131983,census
